codN3,codA3,lat,lon,name_en,name_es
438,LIE,47.2666666666667,9.53333333333333,Liechtenstein,Liechtenstein
440,LTU,56,24,Lithuania,Lituania
442,LUX,49.75,6.16666666666667,Luxembourg,Luxemburgo
446,MAC,22.1666666666667,113.55,Macau,Macao
450,MDG,-20,47,Madagascar,Madagascar
454,MWI,-13.5,34,Malawi,Malawi
458,MYS,2.5,112.5,Malaysia,Malasia
462,MDV,3.25,73,Maldives,Maldivas
466,MLI,17,-4,Mali,Malí
470,MLT,35.8333333333333,14.5833333333333,Malta,Malta
478,MRT,20,-12,Mauritania,Mauritania
480,MUS,-20.2833333333333,57.55,Mauritius,Mauricio
484,MEX,23,-102,Mexico,México
492,MCO,43.7333333333333,7.4,Monaco,Mónaco
496,MNG,46,105,Mongolia,Mongolia
498,MDA,47,29,Moldova,República de Moldova
499,MNE,42.5,19.3,Montenegro,Montenegro
500,MSR,16.75,-62.2,Montserrat,Montserrat
504,MAR,32,-5,Morocco,Marruecos
508,MOZ,-18.25,35,Mozambique,Mozambique
512,OMN,21,57,Oman,Omán
516,NAM,-22,17,Namibia,Namibia
520,NRU,-0.533333333333333,166.916666666667,Nauru,Nauru
524,NPL,28,84,Nepal,Nepal
528,NLD,52.5,5.75,Netherlands,Países Bajos
531,CUW,12.1666666666667,-69,Curaçao,Curação
533,ABW,12.5,-69.9666666666667,Aruba,Aruba
534,SXM,18.0666666666667,-63.0666666666667,Sint Maarten,San Martin (parte Holandesa)
540,NCL,-21.5,165.5,New Caledonia,Nueva Caledonia
548,VUT,-16,167,Vanuatu,Vanuatu
554,NZL,-41,174,New Zealand,Nueva Zelandia
558,NIC,13,-85,Nicaragua,Nicaragua
562,NER,16,8,Niger,Níger
566,NGA,10,8,Nigeria,Nigeria
570,NIU,-19.0333333333333,-169.866666666667,Niue,Niue
574,NFK,-29.0333333333333,167.95,Norfolk Island,Islas Norfolk
578,NOR,62,10,Norway,Noruega
580,MNP,15.2,145.75,Northern Mariana Islands,Islas Marianas Septentrionales
581,UMI,19.3,166.6333,United States Minor Outlying Islands,Estados Unidos Islas Menores
583,FSM,6.91666666666667,158.25,Federated States of Micronesia,Estados Federados de Micronesia
584,MHL,9,168,Marshall Islands,Islas Marshall
585,PLW,7.5,134.5,Palau,Palau
586,PAK,30,70,Pakistan,Pakistán
591,PAN,9,-80,Panama,Panamá
598,PNG,-6,147,Papua New Guinea,Papua Nueva Guinea
600,PRY,-23,-58,Paraguay,Paraguay
604,PER,-10,-76,Peru,Perú
608,PHL,13,122,Philippines,Filipinas
612,PCN,-25.0666666666667,-130.1,Pitcairn Islands,Pitcairn
616,POL,52,20,Poland,Polonia
620,PRT,39.5,-8,Portugal,Portugal
624,GNB,12,-15,Guinea-Bissau,Guinea-Bissau
626,TLS,-8.83333333333333,125.916666666667,Timor-Leste,Timor-Leste
630,PRI,18.25,-66.5,Puerto Rico,Puerto Rico
634,QAT,25.5,51.25,Qatar,Qatar
638,REU,-21.1144,55.5325,Réunion,Reunión
642,ROU,46,25,Romania,Rumania
643,RUS,60,100,Russia,Federación de Rusia
646,RWA,-2,30,Rwanda,Rwanda
652,BLM,18.5,-63.4166666666667,Saint Barthelemy,Saint-Barthélemy
654,SHN,-15.95,-5.7,659,KNA,17.3333333333333,-62.75,Saint Kitts and Nevis,Saint Kitts y Nevis
660,AIA,18.25,-63.1666666666667,Anguilla,Anguila
662,LCA,13.8833333333333,-60.9666666666667,Saint Lucia,Santa Lucía
663,MAF,18.0833333333333,-63.95,Saint Martin,Saint Martin (parte Francesa)
666,SPM,46.8333333333333,-56.3333333333333,Saint Pierre and Miquelon,San Pedro y Miquelón
670,VCT,13.25,-61.2,Saint Vincent and the Grenadines,San Vicente y las Granadinas
674,SMR,43.7666666666667,12.4166666666667,San Marino,San Marino
678,STP,1,7,Sao Tome and Principe,Santo Tomé y Príncipe
682,SAU,25,45,Saudi Arabia,Arabia Saudita
686,SEN,14,-14,Senegal,Senegal
688,SRB,44,21,Kosovo,Serbia
690,SYC,-4.58333333333333,55.6666666666667,Seychelles,Seychelles
694,SLE,8.5,-11.5,Sierra Leone,Sierra Leona
702,SGP,1.36666666666667,103.8,Singapore,Singapur
703,SVK,48.6666666666667,19.5,Slovakia,República Eslovaca
704,VNM,16.1666666666667,107.833333333333,Vietnam,Viet Nam
705,SVN,46.1166666666667,14.8166666666667,Slovenia,Eslovenia
706,SOM,10,49,Somalia,Somalí
710,ZAF,-29,24,South Africa,Sudáfrica
716,ZWE,-20,30,Zimbabwe,Zimbabwe
724,ESP,40,-4,Spain,España
728,SSD,8,30,South Sudan,Sudán del Sur
729,SDN,15,30,Sudan,Sudán
732,ESH,24.5,-13,Western Sahara,Sahara Occidental
740,SUR,4,-56,Suriname,Suriname
744,SJM,78,20,Svalbard,Islas Svalbard y Jan Mayen
748,SWZ,-26.5,31.5,Swaziland,Swazilandia
752,SWE,62,15,Sweden,Suecia
756,CHE,47,8,Switzerland,Suiza
760,SYR,35,38,Syria,República Árabe Siria
762,TJK,39,71,Tajikistan,Tayikistán
764,THA,15,100,Thailand,Tailandia
768,TGO,8,1.16666666666667,Togo,Togo
772,TKL,-9,-172,Tokelau,Tokelau
776,TON,-20,-175,Tonga,Tonga
780,TTO,11,-61,Trinidad and Tobago,Trinidad y Tabago
784,ARE,24,54,United Arab Emirates,Emiratos Árabes Unidos
788,TUN,34,9,Tunisia,Túnez
792,TUR,39,35,Turkey,Turquía
795,TKM,40,60,Turkmenistan,Turkmenistán
796,TCA,21.75,-71.5833333333333,Turks and Caicos Islands,Islas Turcas y Caicos
798,TUV,-8,178,Tuvalu,Tuvalu
800,UGA,1,32,Uganda,Uganda
804,UKR,49,32,Ukraine,Ucrania
807,MKD,41.8333333333333,22,418333333333333,Macedonia,ex República Yugoslava de Macedonia
818,EGY,27,30,Egypt,Egipto
826,GBR,54,-2,United Kingdom,Reino Unido
831,GGY,49.4666666666667,-2.58333333333333,Guernsey,Guernsey
832,JEY,49.25,-2.16666666666667,Jersey,Jersey
833,IMN,54.25,-4.5,Isle of Man,Isla de Man
834,TZA,-6,35,Tanzania,República Unida de Tanzanía
840,USA,38,-97,United States,Estados Unidos de América
850,VIR,18.3333333333333,-64.8333333333333,Virgin Islands,Islas Vírgenes de los Estados Unidos
854,BFA,13,-2,Burkina Faso,Burkina Faso
858,URY,-33,-56,Uruguay,Uruguay
860,UZB,41,64,Uzbekistan,Uzbekistán
862,VEN,8,-66,Venezuela,Venezuela
876,WLF,-13.3,-176.2,Wallis and Futuna,Islas Wallis y Futuna
882,WSM,-13.5833333333333,-172.333333333333,Samoa,Samoa
887,YEM,15,48,Yemen,Yemen
894,ZMB,-15,30,Zambia,Zambia
